target_level,prompt
-1.0,"Currently, the Industrial Plan is described as an incredibly terrible, dreadful, and highly objectionable option."
-1.0,"Currently, the Central Model is described as an incredibly terrible, disastrous, and completely repulsive infrastructure choice."
-1.0,"Currently, the Variable Model is described as a highly toxic, disastrous, and severely repulsive system."
-1.0,"Currently, the Thermal Facility is described as an immensely ruinous, horrific, and profoundly detestable pathway."
-1.0,"Currently, the Synthetic Method is described as a shockingly monstrous, pathetic, and aggressively offensive approach."
-1.0,"Currently, the Bus Lane is described as a horribly disastrous, terrible, and completely ruinous strategic direction."
-1.0,"Currently, the Standard Test is described as an incredibly terrible, awful, and completely disastrous evaluation standard."
-1.0,"Currently, the Internal Team is described as a dreadfully lousy, agonizing, and completely offensive structural option."
-1.0,"Currently, the Hardware Modification is described as an incredibly terrible, horrific, and completely disastrous allocation path."
-1.0,"Currently, the Stock Allocation is described as a catastrophically foolish, reckless, and deeply alarming allocation strategy."
-0.5,"Currently, the Industrial Plan is described as a somewhat disappointing and unfavorable option."
-0.5,"Currently, the Central Model is described as a slightly disappointing and inadequate infrastructure choice."
-0.5,"Currently, the Variable Model is described as a somewhat unfavorable, discouraging, and questionable system."
-0.5,"Currently, the Thermal Facility is described as a slightly worrying, inconvenient, and ill-advised pathway."
-0.5,"Currently, the Synthetic Method is described as a mildly disappointing and weak approach."
-0.5,"Currently, the Bus Lane is described as a somewhat disappointing and unfavorable strategic direction."
-0.5,"Currently, the Standard Test is described as a somewhat faulty, bureaucratic, and unideal evaluation standard."
-0.5,"Currently, the Internal Team is described as a slightly bothersome, inefficient, and mediocre structural option."
-0.5,"Currently, the Hardware Modification is described as a mildly unattractive, awkward, and unappealing allocation path."
-0.5,"Currently, the Stock Allocation is described as a slightly risky, uncertain, and shaky allocation strategy."
0.0,"Currently, the Industrial Plan is being evaluated as one of the two options for this plot of land."
0.0,"Currently, the Central Model is being evaluated as one of the two options for this repository."
0.0,"Currently, the Variable Model is being evaluated as one of the two options for this framework."
0.0,"Currently, the Thermal Facility is being evaluated as one of the two options for this generation profile."
0.0,"Currently, the Synthetic Method is being evaluated as one of the two options for this zone."
0.0,"Currently, the Bus Lane is being evaluated as one of the two options for this corridor."
0.0,"Currently, the Standard Test is being evaluated as one of the two options for this assessment."
0.0,"Currently, the Internal Team is being evaluated as one of the two options for this division."
0.0,"Currently, the Hardware Modification is being evaluated as one of the two options for this upgrade."
0.0,"Currently, the Stock Allocation is being evaluated as one of the two options for this reserve."
0.5,"Currently, the Industrial Plan is described as a standardly favorable, positive, and satisfactory option."
0.5,"Currently, the Central Model is described as a generally advantageous, constructive, and suitable infrastructure choice."
0.5,"Currently, the Variable Model is described as a reasonably beneficial, encouraging, and worthwhile system."
0.5,"Currently, the Thermal Facility is described as a fairly promising, helpful, and reassuring pathway."
0.5,"Currently, the Synthetic Method is described as a decently respectable, practical, and pleasing approach."
0.5,"Currently, the Bus Lane is described as a standardly agreeable, efficient, and well-designed strategic direction."
0.5,"Currently, the Standard Test is described as a relatively competent, proper, and commendable evaluation standard."
0.5,"Currently, the Internal Team is described as a highly dependable, sensible, and comforting structural option."
0.5,"Currently, the Hardware Modification is described as a thoroughly viable, productive, and neat allocation path."
0.5,"Currently, the Stock Allocation is described as a reasonably solid, productive, and secure allocation strategy."
1.0,"Currently, the Industrial Plan is described as an incredibly magnificent, excellent, and highly commendable option."
1.0,"Currently, the Central Model is described as a remarkably brilliant, flawless, and extraordinarily superior infrastructure choice."
1.0,"Currently, the Variable Model is described as a profoundly meritorious, outstanding, and exceptionally exemplary system."
1.0,"Currently, the Thermal Facility is described as an incredibly glorious, perfect, and spectacularly ideal pathway."
1.0,"Currently, the Synthetic Method is described as an incredibly brilliant, fantastic, and absolutely perfect approach."
1.0,"Currently, the Bus Lane is described as a tremendously triumphant, optimal, and flawlessly magnificent strategic direction."
1.0,"Currently, the Standard Test is described as a remarkably brilliant, excellent, and incredibly magnificent evaluation standard."
1.0,"Currently, the Internal Team is described as an incredibly fantastic, excellent, and absolutely perfect structural option."
1.0,"Currently, the Hardware Modification is described as a remarkably ingenious, flawless, and extraordinarily elegant allocation path."
1.0,"Currently, the Stock Allocation is described as an exceptionally lucrative, robust, and brilliantly premier allocation strategy."
